HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521029728@225784@101133088@2642@101068@200423,OTHER,APRECAP,GLENMARK PHARMACEUTICALS LTD.,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,2337.19,2337.19,Dec-2025
1521029728@225784@101133088@2642@101068@200423,OTHER,AMITANT,AUREATE HEALTHCARE PVT.LTD,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,2350.00,2350.00,Dec-2025
1521029728@225784@101133088@2642@101068@200423,OTHER,APRITANT,MSN LABORATORIES LTD,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,2410.72,2410.72,Dec-2025
1521029728@225784@101133088@2642@101068@200423,OTHER,FOSAPORT,ERIS LIFESCIENCES LTD,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,2850.00,2850.00,Dec-2025
1521029728@225784@101133088@2642@101068@200423,OTHER,FOSAPRETERO,HETERO HEALTHCARE LTD,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,3212.50,3212.50,Dec-2025
1521029725@288725@101246281@2642@101068@200423,MAIN,FOSUP (BIOLOGICALS) KIT 150 MG INJECTION 1,ZYDUS - BIOLOGICS,FOSAPREPITANT INJECTION 150 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,825.00,825.00,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,APRISET,ALKEM LABORATORIES LTD.,FOSAPREPITANT INJECTION 150 MG,10,INJECTION,Non-Scheduled,-1,2430.00,243.00,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,FOSA,VIATRIS,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,1250.00,1250.00,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,FOSAPREPIT,CIPLA LTD.,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,1430.00,1430.00,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,FOSAPP,CELON LABS,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,1730.87,1730.87,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,FOSARAN,RANBAXY LABORATORIES LTD,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,2299.00,2299.00,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,APRECAP,GLENMARK PHARMACEUTICALS LTD.,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,2337.19,2337.19,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,AMITANT,AUREATE HEALTHCARE PVT.LTD,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,2350.00,2350.00,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,APRITANT,MSN LABORATORIES LTD,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,2410.72,2410.72,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,FOSPRITANT,RPG LIFE SCIENCES LTD.,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,2500.00,2500.00,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,FOSAPORT,ERIS LIFESCIENCES LTD,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,2850.00,2850.00,Dec-2025
1521029725@288725@101246281@2642@101068@200423,OTHER,FOSAPRETERO,HETERO HEALTHCARE LTD,FOSAPREPITANT INJECTION 150 MG,1,INJECTION,Non-Scheduled,-1,3212.50,3212.50,Dec-2025
