HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521022490@306924@101227560@3215@101006@201773,OTHER,LANIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,14.00,0.47,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,HERDUO,NATCO PHARMA LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,6000.00,40.00,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,HERTAB,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,26604.50,177.36,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,CADILAP,CADILA PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5400.00,180.00,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,LIBSET,INTAS PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5995.00,199.83,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,HERTAB,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7166.00,238.87,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,ABNIB,ABBOTT HEALTHCARE PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8000.00,266.67,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,TYLIDYS,ZYDUS - BIOLOGICS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8022.70,267.42,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,COMBINIB,CIPLA LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8228.00,274.27,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,LAPAHOPE,GLENMARK PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8750.00,291.67,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,10,TABLET,Non-Scheduled,-1,3000.00,300.00,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,47142.85,314.29,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,TYKERB (NOVARTIS),NOVARTIS INDIA LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9483.00,316.10,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,LUPIDOC,LUPIN LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9562.50,318.75,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,LAPATEM,EMCURE PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10476.18,349.21,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10840.50,361.35,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,BRETOLAP,ALKEM LABORATORIES LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,11427.62,380.92,Dec-2025
1521022490@306924@101227560@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,6,TABLET,Non-Scheduled,-1,2672.63,445.44,Dec-2025
1521101655@344905@101193354@3215@101006@201773,MAIN,HERTAB 250 MG TABLET 150,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,150 TABLET,TABLET,Non-Scheduled,-1,26604.50,177.36,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,LANIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,14.00,0.47,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,HERDUO,NATCO PHARMA LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,6000.00,40.00,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,CADILAP,CADILA PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5400.00,180.00,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,LIBSET,INTAS PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5995.00,199.83,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,HERLAPSA,VIATRIS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7673.32,255.78,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,ABNIB,ABBOTT HEALTHCARE PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8000.00,266.67,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,TYLIDYS,ZYDUS - BIOLOGICS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8022.70,267.42,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,COMBINIB,CIPLA LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8228.00,274.27,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,LAPAHOPE,GLENMARK PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8750.00,291.67,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,10,TABLET,Non-Scheduled,-1,3000.00,300.00,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,47142.85,314.29,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,TYKERB (NOVARTIS),NOVARTIS INDIA LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9483.00,316.10,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,LUPIDOC,LUPIN LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9562.50,318.75,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,LAPATEM,EMCURE PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10476.18,349.21,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10840.50,361.35,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,BRETOLAP,ALKEM LABORATORIES LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,11427.62,380.92,Dec-2025
1521101655@344905@101193354@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,6,TABLET,Non-Scheduled,-1,2672.63,445.44,Dec-2025
1521099627@344906@101193354@3215@101006@201773,MAIN,HERTAB 250 MG TABLET 30,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,30 TABLET,TABLET,Non-Scheduled,-1,7166.00,238.87,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,LANIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,14.00,0.47,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,HERDUO,NATCO PHARMA LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,6000.00,40.00,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,CADILAP,CADILA PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5400.00,180.00,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,LIBSET,INTAS PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5995.00,199.83,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,HERLAPSA,VIATRIS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7673.32,255.78,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,ABNIB,ABBOTT HEALTHCARE PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8000.00,266.67,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,TYLIDYS,ZYDUS - BIOLOGICS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8022.70,267.42,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,COMBINIB,CIPLA LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8228.00,274.27,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,LAPAHOPE,GLENMARK PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8750.00,291.67,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,10,TABLET,Non-Scheduled,-1,3000.00,300.00,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,47142.85,314.29,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,TYKERB (NOVARTIS),NOVARTIS INDIA LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9483.00,316.10,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,LUPIDOC,LUPIN LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9562.50,318.75,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,LAPATEM,EMCURE PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10476.18,349.21,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10840.50,361.35,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,BRETOLAP,ALKEM LABORATORIES LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,11427.62,380.92,Dec-2025
1521099627@344906@101193354@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,6,TABLET,Non-Scheduled,-1,2672.63,445.44,Dec-2025
1521101887@313490@101194782@3215@101006@201773,MAIN,LANIB 250 MG TABLET 30,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LAPATINIB TABLET 250 MG,30 TABLET,TABLET,Non-Scheduled,-1,14.00,0.47,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,HERDUO,NATCO PHARMA LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,6000.00,40.00,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,HERTAB,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,26604.50,177.36,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,CADILAP,CADILA PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5400.00,180.00,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,LIBSET,INTAS PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5995.00,199.83,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,HERTAB,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7166.00,238.87,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,HERLAPSA,VIATRIS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7673.32,255.78,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,ABNIB,ABBOTT HEALTHCARE PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8000.00,266.67,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,TYLIDYS,ZYDUS - BIOLOGICS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8022.70,267.42,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,COMBINIB,CIPLA LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8228.00,274.27,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,LAPAHOPE,GLENMARK PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8750.00,291.67,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,10,TABLET,Non-Scheduled,-1,3000.00,300.00,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,47142.85,314.29,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,TYKERB (NOVARTIS),NOVARTIS INDIA LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9483.00,316.10,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,LUPIDOC,LUPIN LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9562.50,318.75,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,LAPATEM,EMCURE PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10476.18,349.21,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10840.50,361.35,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,BRETOLAP,ALKEM LABORATORIES LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,11427.62,380.92,Dec-2025
1521101887@313490@101194782@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,6,TABLET,Non-Scheduled,-1,2672.63,445.44,Dec-2025
1521091274@282900@101116695@3215@101006@201773,MAIN,LAPAHOPE 250 MG TABLET 30,GLENMARK PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,30 TABLET,TABLET,Non-Scheduled,-1,8750.00,291.67,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,LANIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,14.00,0.47,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,HERDUO,NATCO PHARMA LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,6000.00,40.00,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,HERTAB,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,26604.50,177.36,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,CADILAP,CADILA PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5400.00,180.00,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,LIBSET,INTAS PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5995.00,199.83,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,HERTAB,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7166.00,238.87,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,HERLAPSA,VIATRIS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7673.32,255.78,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,ABNIB,ABBOTT HEALTHCARE PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8000.00,266.67,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,TYLIDYS,ZYDUS - BIOLOGICS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8022.70,267.42,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,COMBINIB,CIPLA LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8228.00,274.27,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,10,TABLET,Non-Scheduled,-1,3000.00,300.00,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,47142.85,314.29,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,TYKERB (NOVARTIS),NOVARTIS INDIA LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9483.00,316.10,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,LUPIDOC,LUPIN LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9562.50,318.75,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,LAPATEM,EMCURE PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10476.18,349.21,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10840.50,361.35,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,BRETOLAP,ALKEM LABORATORIES LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,11427.62,380.92,Dec-2025
1521091274@282900@101116695@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,6,TABLET,Non-Scheduled,-1,2672.63,445.44,Dec-2025
1521040329@281600@101143553@3215@101006@201773,MAIN,LAPATEM 250 MG TABLET 30,EMCURE PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30 TABLET,TABLET,Non-Scheduled,-1,10476.18,349.21,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,LANIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,14.00,0.47,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,HERDUO,NATCO PHARMA LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,6000.00,40.00,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,HERTAB,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,26604.50,177.36,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,CADILAP,CADILA PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5400.00,180.00,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,LIBSET,INTAS PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5995.00,199.83,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,HERTAB,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7166.00,238.87,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,HERLAPSA,VIATRIS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7673.32,255.78,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,ABNIB,ABBOTT HEALTHCARE PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8000.00,266.67,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,TYLIDYS,ZYDUS - BIOLOGICS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8022.70,267.42,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,COMBINIB,CIPLA LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8228.00,274.27,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,LAPAHOPE,GLENMARK PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8750.00,291.67,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,10,TABLET,Non-Scheduled,-1,3000.00,300.00,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,47142.85,314.29,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,TYKERB (NOVARTIS),NOVARTIS INDIA LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9483.00,316.10,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,LUPIDOC,LUPIN LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9562.50,318.75,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10840.50,361.35,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,BRETOLAP,ALKEM LABORATORIES LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,11427.62,380.92,Dec-2025
1521040329@281600@101143553@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,6,TABLET,Non-Scheduled,-1,2672.63,445.44,Dec-2025
1521042120@288562@101145343@3215@101006@201773,MAIN,LIBSET 250 MG TABLET 30,INTAS PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30 TABLET,TABLET,Non-Scheduled,-1,5995.00,199.83,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,LANIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,14.00,0.47,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,HERDUO,NATCO PHARMA LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,6000.00,40.00,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,HERTAB,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,26604.50,177.36,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,CADILAP,CADILA PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,5400.00,180.00,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,HERTAB,HETERO HEALTHCARE LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7166.00,238.87,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,HERLAPSA,VIATRIS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,7673.32,255.78,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,ABNIB,ABBOTT HEALTHCARE PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8000.00,266.67,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,TYLIDYS,ZYDUS - BIOLOGICS,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8022.70,267.42,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,COMBINIB,CIPLA LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8228.00,274.27,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,LAPAHOPE,GLENMARK PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,8750.00,291.67,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,10,TABLET,Non-Scheduled,-1,3000.00,300.00,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,47142.85,314.29,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,TYKERB (NOVARTIS),NOVARTIS INDIA LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9483.00,316.10,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,LUPIDOC,LUPIN LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,9562.50,318.75,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,LAPATEM,EMCURE PHARMACEUTICALS LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10476.18,349.21,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,ETIBO,SAMARTH LIFE SCIENCES PVT LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,10840.50,361.35,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,BRETOLAP,ALKEM LABORATORIES LTD.,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,11427.62,380.92,Dec-2025
1521042120@288562@101145343@3215@101006@201773,OTHER,TYKERB,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,LAPATINIB TABLET 250 MG,6,TABLET,Non-Scheduled,-1,2672.63,445.44,Dec-2025
1521092721@287686@101141591@3215@101006@201773,MAIN,LUPIDOC 250 MG TABLET 30,LUPIN LTD,LAPATINIB TABLET 250 MG,30 TABLET,TABLET,Non-Scheduled,-1,9562.50,318.75,Dec-2025
1521092721@287686@101141591@3215@101006@201773,OTHER,LANIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LAPATINIB TABLET 250 MG,30,TABLET,Non-Scheduled,-1,14.00,0.47,Dec-2025
1521092721@287686@101141591@3215@101006@201773,OTHER,HERDUO,NATCO PHARMA LTD,LAPATINIB TABLET 250 MG,150,TABLET,Non-Scheduled,-1,6000.00,40.00,Dec-2025
