HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521134646@9999999221@101125787@1456@101006@201344,OTHER,DUTAPROST,EAST WEST PHARMA,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,200.45,20.05,Dec-2025
1521015528@330416@101122572@1055@101019@201344,MAIN,DUTAMAX 0.025 % LOTION 60 ML,GALCARE PHARMACEUTICALS P. LTD,DUTASTERIDE LOTION 0.025 %,60 ML LOTION,LOTION,Non-Scheduled,-1,496.88,8.28,Dec-2025
1521019333@186529@101122572@1456@101006@201344,MAIN,DUTAMAX 0.5 MG TABLET 10,GALCARE PHARMACEUTICALS P. LTD,DUTASTERIDE TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,121.88,12.19,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,DUTANOL,KNOLL HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,20.63,2.06,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,BIODUTA,BIOS LAB PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,NDUTA,NEMUS PHARMACEUTICALS PVT LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,15,TABLET,Non-Scheduled,-1,164.06,10.94,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,DUTACET,KIVI LABS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,111.50,11.15,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,DUSHIT,AVANCER LAB,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,DUTAONE,RIVAN PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,DUTAWON,WONDER THERAPUTICS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,122.00,12.20,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,ZARIDE,HBC DERMIZA HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,135.93,13.59,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,DUTAHEAL,HEALING PHARMA INDIA PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,158.44,15.84,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,DUMAN,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,VELTRIDE,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521019333@186529@101122572@1456@101006@201344,OTHER,DUTAPROST,EAST WEST PHARMA,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,200.45,20.05,Dec-2025
1521149976@312170@101231372@1456@101006@201344,MAIN,DUTANOL 0.5 MG TABLET 10,KNOLL HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,20.63,2.06,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,BIODUTA,BIOS LAB PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,NDUTA,NEMUS PHARMACEUTICALS PVT LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,15,TABLET,Non-Scheduled,-1,164.06,10.94,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,DUTACET,KIVI LABS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,111.50,11.15,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,DUSHIT,AVANCER LAB,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,DUTAONE,RIVAN PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,DUTAMAX,GALCARE PHARMACEUTICALS P. LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,121.88,12.19,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,DUTAWON,WONDER THERAPUTICS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,122.00,12.20,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,ZARIDE,HBC DERMIZA HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,135.93,13.59,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,DUTAHEAL,HEALING PHARMA INDIA PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,158.44,15.84,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,DUMAN,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,VELTRIDE,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521149976@312170@101231372@1456@101006@201344,OTHER,DUTAPROST,EAST WEST PHARMA,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,200.45,20.05,Dec-2025
1521019341@206624@101125795@1456@101006@201344,MAIN,DUTAONE 0.5 MG TABLET 10,RIVAN PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,DUTANOL,KNOLL HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,20.63,2.06,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,BIODUTA,BIOS LAB PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,NDUTA,NEMUS PHARMACEUTICALS PVT LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,15,TABLET,Non-Scheduled,-1,164.06,10.94,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,DUTACET,KIVI LABS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,111.50,11.15,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,DUSHIT,AVANCER LAB,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,DUTAMAX,GALCARE PHARMACEUTICALS P. LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,121.88,12.19,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,DUTAWON,WONDER THERAPUTICS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,122.00,12.20,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,ZARIDE,HBC DERMIZA HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,135.93,13.59,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,DUTAHEAL,HEALING PHARMA INDIA PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,158.44,15.84,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,DUMAN,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,VELTRIDE,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521019341@206624@101125795@1456@101006@201344,OTHER,DUTAPROST,EAST WEST PHARMA,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,200.45,20.05,Dec-2025
1521067766@200896@101125796@1456@101006@201344,MAIN,DUTAPROST 0.5 MG TABLET 10,EAST WEST PHARMA,DUTASTERIDE TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,200.45,20.05,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,DUTANOL,KNOLL HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,20.63,2.06,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,BIODUTA,BIOS LAB PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,NDUTA,NEMUS PHARMACEUTICALS PVT LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,15,TABLET,Non-Scheduled,-1,164.06,10.94,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,DUTACET,KIVI LABS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,111.50,11.15,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,DUSHIT,AVANCER LAB,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,DUTAONE,RIVAN PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,DUTAMAX,GALCARE PHARMACEUTICALS P. LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,121.88,12.19,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,DUTAWON,WONDER THERAPUTICS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,122.00,12.20,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,ZARIDE,HBC DERMIZA HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,135.93,13.59,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,DUTAHEAL,HEALING PHARMA INDIA PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,158.44,15.84,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,DUMAN,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521067766@200896@101125796@1456@101006@201344,OTHER,VELTRIDE,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521019343@198879@101125798@1456@101085@201344,MAIN,DUTAS 0.5 MG SOFTGEL CAPSULE 30,DR. REDDYS LABORATORIES LTD,DUTASTERIDE SOFTGEL CAPSULE 0.5 MG,30 SOFTGEL CAPSULE,SOFTGEL CAPSULE,Non-Scheduled,-1,1441.93,48.06,Dec-2025
1521019343@198879@101125798@1456@101085@201344,OTHER,STUDART,KLM LABORATORIES PVT.LTD,DUTASTERIDE SOFTGEL CAPSULE 0.5 MG,10,SOFTGEL CAPSULE,Non-Scheduled,-1,187.50,18.75,Dec-2025
1521019343@198879@101125798@1456@101085@201344,OTHER,DUPROST,CIPLA LTD.,DUTASTERIDE SOFTGEL CAPSULE 0.5 MG,10,SOFTGEL CAPSULE,Non-Scheduled,-1,304.97,30.50,Dec-2025
1521019343@198879@101125798@1456@101085@201344,OTHER,DUTAGEN,DR. REDDYS LABORATORIES LTD,DUTASTERIDE SOFTGEL CAPSULE 0.5 MG,10,SOFTGEL CAPSULE,Non-Scheduled,-1,321.56,32.16,Dec-2025
1521019343@198879@101125798@1456@101085@201344,OTHER,DUTAGEN (RANBAXY),RANBAXY LABORATORIES LTD,DUTASTERIDE SOFTGEL CAPSULE 0.5 MG,10,SOFTGEL CAPSULE,Non-Scheduled,-1,321.56,32.16,Dec-2025
1521156789@700865@101243217@-1@101006@201344,MAIN,DUTAVERSE TABLET 10,CANIXA LIFE SCIENCES PVT,DUTASTERIDE TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,169.00,16.90,Dec-2025
1521156789@700865@101243217@-1@101006@201344,OTHER,D RIDE,ETHICARE REMEDIES,DUTASTERIDE TABLET ,10,TABLET,Non-Scheduled,-1,56.25,5.63,Dec-2025
1521156789@700865@101243217@-1@101006@201344,OTHER,DUTADON,DERMAKARE PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET ,10,TABLET,Non-Scheduled,-1,58.93,5.89,Dec-2025
1521156789@700865@101243217@-1@101006@201344,OTHER,DUTRICH,GENEES PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET ,10,TABLET,Non-Scheduled,-1,107.00,10.70,Dec-2025
1521138457@286762@101231373@1456@101006@201344,MAIN,DUTAWON 0.5 MG TABLET 10,WONDER THERAPUTICS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,122.00,12.20,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,DUTANOL,KNOLL HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,20.63,2.06,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,BIODUTA,BIOS LAB PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,NDUTA,NEMUS PHARMACEUTICALS PVT LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,15,TABLET,Non-Scheduled,-1,164.06,10.94,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,DUTACET,KIVI LABS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,111.50,11.15,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,DUSHIT,AVANCER LAB,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,DUTAONE,RIVAN PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,DUTAMAX,GALCARE PHARMACEUTICALS P. LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,121.88,12.19,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,ZARIDE,HBC DERMIZA HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,135.93,13.59,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,DUTAHEAL,HEALING PHARMA INDIA PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,158.44,15.84,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,DUMAN,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,VELTRIDE,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521138457@286762@101231373@1456@101006@201344,OTHER,DUTAPROST,EAST WEST PHARMA,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,200.45,20.05,Dec-2025
1521144859@249772@101231375@-1@101006@201344,MAIN,DUTRICH TABLET 10,GENEES PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,107.00,10.70,Dec-2025
1521144859@249772@101231375@-1@101006@201344,OTHER,D RIDE,ETHICARE REMEDIES,DUTASTERIDE TABLET ,10,TABLET,Non-Scheduled,-1,56.25,5.63,Dec-2025
1521144859@249772@101231375@-1@101006@201344,OTHER,DUTADON,DERMAKARE PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET ,10,TABLET,Non-Scheduled,-1,58.93,5.89,Dec-2025
1521144859@249772@101231375@-1@101006@201344,OTHER,DUTAVERSE,CANIXA LIFE SCIENCES PVT,DUTASTERIDE TABLET ,10,TABLET,Non-Scheduled,-1,169.00,16.90,Dec-2025
1521051739@280513@101154725@1456@101006@201344,MAIN,NDUTA 0.5 MG TABLET 10,NEMUS PHARMACEUTICALS PVT LTD,DUTASTERIDE TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUTANOL,KNOLL HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,20.63,2.06,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,BIODUTA,BIOS LAB PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,15,TABLET,Non-Scheduled,-1,164.06,10.94,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUTACET,KIVI LABS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,111.50,11.15,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUSHIT,AVANCER LAB,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUTAONE,RIVAN PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUTAMAX,GALCARE PHARMACEUTICALS P. LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,121.88,12.19,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUTAWON,WONDER THERAPUTICS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,122.00,12.20,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,ZARIDE,HBC DERMIZA HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,135.93,13.59,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUTAHEAL,HEALING PHARMA INDIA PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,158.44,15.84,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUMAN,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,VELTRIDE,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521051739@280513@101154725@1456@101006@201344,OTHER,DUTAPROST,EAST WEST PHARMA,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,200.45,20.05,Dec-2025
1521158161@702601@101244428@1456@101085@201344,MAIN,STUDART 0.5 MG SOFTGEL CAPSULE 10,KLM LABORATORIES PVT.LTD,DUTASTERIDE SOFTGEL CAPSULE 0.5 MG,10 SOFTGEL CAPSULE,SOFTGEL CAPSULE,Non-Scheduled,-1,187.50,18.75,Dec-2025
1521158161@702601@101244428@1456@101085@201344,OTHER,DUPROST,CIPLA LTD.,DUTASTERIDE SOFTGEL CAPSULE 0.5 MG,10,SOFTGEL CAPSULE,Non-Scheduled,-1,304.97,30.50,Dec-2025
1521158161@702601@101244428@1456@101085@201344,OTHER,DUTAGEN,DR. REDDYS LABORATORIES LTD,DUTASTERIDE SOFTGEL CAPSULE 0.5 MG,10,SOFTGEL CAPSULE,Non-Scheduled,-1,321.56,32.16,Dec-2025
1521158161@702601@101244428@1456@101085@201344,OTHER,DUTAGEN (RANBAXY),RANBAXY LABORATORIES LTD,DUTASTERIDE SOFTGEL CAPSULE 0.5 MG,10,SOFTGEL CAPSULE,Non-Scheduled,-1,321.56,32.16,Dec-2025
1521158161@702601@101244428@1456@101085@201344,OTHER,DUTAS,DR. REDDYS LABORATORIES LTD,DUTASTERIDE SOFTGEL CAPSULE 0.5 MG,30,SOFTGEL CAPSULE,Non-Scheduled,-1,1441.93,48.06,Dec-2025
1521081557@65262@101182201@1456@101006@201344,MAIN,VELTRIDE 0.5 MG TABLET 10,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUTANOL,KNOLL HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,20.63,2.06,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,BIODUTA,BIOS LAB PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,NDUTA,NEMUS PHARMACEUTICALS PVT LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUTAJOY,KEPLER HEALTH CARE,DUTASTERIDE TABLET 0.5 MG,15,TABLET,Non-Scheduled,-1,164.06,10.94,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUTACET,KIVI LABS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,111.50,11.15,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUSHIT,AVANCER LAB,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUTAONE,RIVAN PHARMACEUTICALS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,120.94,12.09,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUTAMAX,GALCARE PHARMACEUTICALS P. LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,121.88,12.19,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUTAWON,WONDER THERAPUTICS PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,122.00,12.20,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,ZARIDE,HBC DERMIZA HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,135.93,13.59,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUTAHEAL,HEALING PHARMA INDIA PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,158.44,15.84,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUMAN,INTAS PHARMACEUTICALS LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521081557@65262@101182201@1456@101006@201344,OTHER,DUTAPROST,EAST WEST PHARMA,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,200.45,20.05,Dec-2025
1521084752@260805@101185541@1456@101006@201344,MAIN,ZARIDE 0.5 MG TABLET 10,HBC DERMIZA HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,135.93,13.59,Dec-2025
1521084752@260805@101185541@1456@101006@201344,OTHER,DUTANOL,KNOLL HEALTHCARE PVT.LTD,DUTASTERIDE TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,20.63,2.06,Dec-2025
