HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521136333@9999998439@101226924@2642@101006@201846,OTHER,OLPARIB,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,12890.00,214.83,Dec-2025
1521136333@9999998439@101226924@2642@101006@201846,OTHER,RIBAXA,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,2187.46,218.75,Dec-2025
1521136333@9999998439@101226924@2642@101006@201846,OTHER,RIBAXA PLUS,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14000.00,233.33,Dec-2025
1521136333@9999998439@101226924@2642@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14057.80,234.30,Dec-2025
1521136333@9999998439@101226924@2642@101006@201846,OTHER,BRACANAT,NATCO PHARMA LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,7453.12,248.44,Dec-2025
1521136333@9999998439@101226924@2642@101006@201846,OTHER,PARBRAZE,ABBOTT HEALTHCARE PVT. LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20089.29,334.82,Dec-2025
1521136333@9999998439@101226924@2642@101006@201846,OTHER,OBILIX,ERIS LIFESCIENCES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20100.00,335.00,Dec-2025
1521136333@9999998439@101226924@2642@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,22875.00,381.25,Dec-2025
1521136333@9999998439@101226924@2642@101006@201846,OTHER,OBRENZA,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,23906.25,398.44,Dec-2025
1521136333@9999998439@101226924@2642@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,42187.50,703.13,Dec-2025
1521136333@9999998439@101226924@2642@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,41025.00,5128.13,Dec-2025
1521135195@9999998478@101225600@1846@101006@201846,MAIN,OBRENZA 100 MG TABLET 60,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 100 MG,60 TABLET,TABLET,Non-Scheduled,-1,18870.00,314.50,Dec-2025
1521135195@9999998478@101225600@1846@101006@201846,OTHER,RIBAXA,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 100 MG,10,TABLET,Non-Scheduled,-1,1071.39,107.14,Dec-2025
1521135195@9999998478@101225600@1846@101006@201846,OTHER,OLPAZA,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,3937.50,131.25,Dec-2025
1521135195@9999998478@101225600@1846@101006@201846,OTHER,OLPARIB,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,8053.58,134.23,Dec-2025
1521135195@9999998478@101225600@1846@101006@201846,OTHER,RIBAXA PLUS,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,10000.00,166.67,Dec-2025
1521135195@9999998478@101225600@1846@101006@201846,OTHER,OBPARP,CIPLA LTD.,OLAPARIB TABLET 100 MG,8,TABLET,Non-Scheduled,-1,1785.71,223.21,Dec-2025
1521135195@9999998478@101225600@1846@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,13995.00,233.25,Dec-2025
1521135195@9999998478@101225600@1846@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,17500.00,291.67,Dec-2025
1521135195@9999998478@101225600@1846@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,36000.00,600.00,Dec-2025
1521135195@9999998478@101225600@1846@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 100 MG,8,TABLET,Non-Scheduled,-1,43328.00,5416.00,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,MAIN,OBRENZA 150 MG TABLET 60,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 150 MG,60 TABLET,TABLET,Non-Scheduled,-1,23906.25,398.44,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,OLPAZA,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,6200.00,206.67,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,OLPARIB,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,12890.00,214.83,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,RIBAXA,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,2187.46,218.75,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,RIBAXA PLUS,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14000.00,233.33,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14057.80,234.30,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,BRACANAT,NATCO PHARMA LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,7453.12,248.44,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,OBPARP,CIPLA LTD.,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,2008.12,251.02,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,PARBRAZE,ABBOTT HEALTHCARE PVT. LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20089.29,334.82,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,OBILIX,ERIS LIFESCIENCES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20100.00,335.00,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,22875.00,381.25,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,42187.50,703.13,Dec-2025
1521135196@9999998477@101225600@2642@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,41025.00,5128.13,Dec-2025
1521140555@9999998792@101225971@1846@101006@201846,MAIN,OLPARIB 100 MG TABLET 60,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 100 MG,60 TABLET,TABLET,Non-Scheduled,-1,8053.58,134.23,Dec-2025
1521140555@9999998792@101225971@1846@101006@201846,OTHER,RIBAXA,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 100 MG,10,TABLET,Non-Scheduled,-1,1071.39,107.14,Dec-2025
1521140555@9999998792@101225971@1846@101006@201846,OTHER,OLPAZA,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,3937.50,131.25,Dec-2025
1521140555@9999998792@101225971@1846@101006@201846,OTHER,RIBAXA PLUS,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,10000.00,166.67,Dec-2025
1521140555@9999998792@101225971@1846@101006@201846,OTHER,OBPARP,CIPLA LTD.,OLAPARIB TABLET 100 MG,8,TABLET,Non-Scheduled,-1,1785.71,223.21,Dec-2025
1521140555@9999998792@101225971@1846@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,13995.00,233.25,Dec-2025
1521140555@9999998792@101225971@1846@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,17500.00,291.67,Dec-2025
1521140555@9999998792@101225971@1846@101006@201846,OTHER,OBRENZA,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,18870.00,314.50,Dec-2025
1521140555@9999998792@101225971@1846@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,36000.00,600.00,Dec-2025
1521140555@9999998792@101225971@1846@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 100 MG,8,TABLET,Non-Scheduled,-1,43328.00,5416.00,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,MAIN,OLPARIB 150 MG TABLET 60,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 150 MG,60 TABLET,TABLET,Non-Scheduled,-1,12890.00,214.83,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,OLPAZA,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,6200.00,206.67,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,RIBAXA,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,2187.46,218.75,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,RIBAXA PLUS,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14000.00,233.33,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14057.80,234.30,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,BRACANAT,NATCO PHARMA LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,7453.12,248.44,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,OBPARP,CIPLA LTD.,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,2008.12,251.02,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,PARBRAZE,ABBOTT HEALTHCARE PVT. LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20089.29,334.82,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,OBILIX,ERIS LIFESCIENCES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20100.00,335.00,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,22875.00,381.25,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,OBRENZA,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,23906.25,398.44,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,42187.50,703.13,Dec-2025
1521135594@9999998791@101225971@2642@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,41025.00,5128.13,Dec-2025
1521134817@9999998301@101225321@1846@101006@201846,MAIN,OLPAZA 100 MG TABLET 30,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 100 MG,30 TABLET,TABLET,Non-Scheduled,-1,3937.50,131.25,Dec-2025
1521134817@9999998301@101225321@1846@101006@201846,OTHER,RIBAXA,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 100 MG,10,TABLET,Non-Scheduled,-1,1071.39,107.14,Dec-2025
1521134817@9999998301@101225321@1846@101006@201846,OTHER,OLPARIB,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,8053.58,134.23,Dec-2025
1521134817@9999998301@101225321@1846@101006@201846,OTHER,RIBAXA PLUS,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,10000.00,166.67,Dec-2025
1521134817@9999998301@101225321@1846@101006@201846,OTHER,OBPARP,CIPLA LTD.,OLAPARIB TABLET 100 MG,8,TABLET,Non-Scheduled,-1,1785.71,223.21,Dec-2025
1521134817@9999998301@101225321@1846@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,13995.00,233.25,Dec-2025
1521134817@9999998301@101225321@1846@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,17500.00,291.67,Dec-2025
1521134817@9999998301@101225321@1846@101006@201846,OTHER,OBRENZA,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,18870.00,314.50,Dec-2025
1521134817@9999998301@101225321@1846@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,36000.00,600.00,Dec-2025
1521134817@9999998301@101225321@1846@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 100 MG,8,TABLET,Non-Scheduled,-1,43328.00,5416.00,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,MAIN,OLPAZA 150 MG TABLET 30,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,30 TABLET,TABLET,Non-Scheduled,-1,6200.00,206.67,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,OLPARIB,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,12890.00,214.83,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,RIBAXA,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,2187.46,218.75,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,RIBAXA PLUS,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14000.00,233.33,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14057.80,234.30,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,BRACANAT,NATCO PHARMA LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,7453.12,248.44,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,OBPARP,CIPLA LTD.,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,2008.12,251.02,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,PARBRAZE,ABBOTT HEALTHCARE PVT. LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20089.29,334.82,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,OBILIX,ERIS LIFESCIENCES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20100.00,335.00,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,22875.00,381.25,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,OBRENZA,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,23906.25,398.44,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,42187.50,703.13,Dec-2025
1521135021@9999998302@101225321@2642@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,41025.00,5128.13,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,MAIN,PARBRAZE 150 MG TABLET 60,ABBOTT HEALTHCARE PVT. LTD,OLAPARIB TABLET 150 MG,60 TABLET,TABLET,Non-Scheduled,-1,20089.29,334.82,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,OLPAZA,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,6200.00,206.67,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,OLPARIB,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,12890.00,214.83,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,RIBAXA,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,2187.46,218.75,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,RIBAXA PLUS,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14000.00,233.33,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14057.80,234.30,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,BRACANAT,NATCO PHARMA LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,7453.12,248.44,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,OBPARP,CIPLA LTD.,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,2008.12,251.02,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,OBILIX,ERIS LIFESCIENCES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20100.00,335.00,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,22875.00,381.25,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,OBRENZA,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,23906.25,398.44,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,42187.50,703.13,Dec-2025
1521134629@9999998776@101224908@2642@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,41025.00,5128.13,Dec-2025
1521139891@9999996307@101227770@1846@101006@201846,MAIN,RIBAXA 100 MG TABLET 10,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,1071.39,107.14,Dec-2025
1521139891@9999996307@101227770@1846@101006@201846,OTHER,OLPAZA,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,3937.50,131.25,Dec-2025
1521139891@9999996307@101227770@1846@101006@201846,OTHER,OLPARIB,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,8053.58,134.23,Dec-2025
1521139891@9999996307@101227770@1846@101006@201846,OTHER,RIBAXA PLUS,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,10000.00,166.67,Dec-2025
1521139891@9999996307@101227770@1846@101006@201846,OTHER,OBPARP,CIPLA LTD.,OLAPARIB TABLET 100 MG,8,TABLET,Non-Scheduled,-1,1785.71,223.21,Dec-2025
1521139891@9999996307@101227770@1846@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,13995.00,233.25,Dec-2025
1521139891@9999996307@101227770@1846@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,17500.00,291.67,Dec-2025
1521139891@9999996307@101227770@1846@101006@201846,OTHER,OBRENZA,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,18870.00,314.50,Dec-2025
1521139891@9999996307@101227770@1846@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,36000.00,600.00,Dec-2025
1521139891@9999996307@101227770@1846@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 100 MG,8,TABLET,Non-Scheduled,-1,43328.00,5416.00,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,MAIN,RIBAXA 150 MG TABLET 10,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,10 TABLET,TABLET,Non-Scheduled,-1,2187.46,218.75,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,OLPAZA,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,6200.00,206.67,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,OLPARIB,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,12890.00,214.83,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,RIBAXA PLUS,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14000.00,233.33,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,14057.80,234.30,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,BRACANAT,NATCO PHARMA LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,7453.12,248.44,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,OBPARP,CIPLA LTD.,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,2008.12,251.02,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,PARBRAZE,ABBOTT HEALTHCARE PVT. LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20089.29,334.82,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,OBILIX,ERIS LIFESCIENCES LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,20100.00,335.00,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,22875.00,381.25,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,OBRENZA,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,23906.25,398.44,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,42187.50,703.13,Dec-2025
1521136858@9999996434@101227770@2642@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 150 MG,8,TABLET,Non-Scheduled,-1,41025.00,5128.13,Dec-2025
1521135587@9999998124@101225632@1846@101006@201846,MAIN,RIBAXA PLUS 100 MG TABLET 60,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 100 MG,60 TABLET,TABLET,Non-Scheduled,-1,10000.00,166.67,Dec-2025
1521135587@9999998124@101225632@1846@101006@201846,OTHER,RIBAXA,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 100 MG,10,TABLET,Non-Scheduled,-1,1071.39,107.14,Dec-2025
1521135587@9999998124@101225632@1846@101006@201846,OTHER,OLPAZA,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,3937.50,131.25,Dec-2025
1521135587@9999998124@101225632@1846@101006@201846,OTHER,OLPARIB,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,8053.58,134.23,Dec-2025
1521135587@9999998124@101225632@1846@101006@201846,OTHER,OBPARP,CIPLA LTD.,OLAPARIB TABLET 100 MG,8,TABLET,Non-Scheduled,-1,1785.71,223.21,Dec-2025
1521135587@9999998124@101225632@1846@101006@201846,OTHER,IBYRA,ZYDUS HEALTHCARE LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,13995.00,233.25,Dec-2025
1521135587@9999998124@101225632@1846@101006@201846,OTHER,LUPIPARP,LUPIN LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,17500.00,291.67,Dec-2025
1521135587@9999998124@101225632@1846@101006@201846,OTHER,OBRENZA,SUN PHARMA LABORATORIES LTD.,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,18870.00,314.50,Dec-2025
1521135587@9999998124@101225632@1846@101006@201846,OTHER,BRCAONE,EMCURE PHARMACEUTICALS LTD,OLAPARIB TABLET 100 MG,60,TABLET,Non-Scheduled,-1,36000.00,600.00,Dec-2025
1521135587@9999998124@101225632@1846@101006@201846,OTHER,LYNPARZA,ASTRAZENECA PHARMA INDIA LTD,OLAPARIB TABLET 100 MG,8,TABLET,Non-Scheduled,-1,43328.00,5416.00,Dec-2025
1521135216@9999998125@101225632@2642@101006@201846,MAIN,RIBAXA PLUS 150 MG TABLET 60,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,60 TABLET,TABLET,Non-Scheduled,-1,14000.00,233.33,Dec-2025
1521135216@9999998125@101225632@2642@101006@201846,OTHER,OLPAZA,INTAS PHARMACEUTICALS LTD,OLAPARIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,6200.00,206.67,Dec-2025
1521135216@9999998125@101225632@2642@101006@201846,OTHER,OLPARIB,GLENMARK PHARMACEUTICALS LTD.,OLAPARIB TABLET 150 MG,60,TABLET,Non-Scheduled,-1,12890.00,214.83,Dec-2025
1521135216@9999998125@101225632@2642@101006@201846,OTHER,RIBAXA,DR. REDDYS LABORATORIES LTD,OLAPARIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,2187.46,218.75,Dec-2025
