HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521028102@289086@101147466@3887@101006@200767,OTHER,THALORIC,ZUVENTUS HEALTHCARE LTD,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,61.50,6.15,Dec-2025
1521028102@289086@101147466@3887@101006@200767,OTHER,CTD,IPCA LABORATORIES PVT LTD.,CHLORTHALIDONE TABLET 6.25 MG,15,TABLET,Non-Scheduled,-1,116.58,7.77,Dec-2025
1521052807@230930@101155775@2403@101006@200767,MAIN,NEW CH 12.5 MG TABLET 10,SYSTOPIC LABORATORIES LTD-MEM,CHLORTHALIDONE TABLET 12.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,25.31,2.53,Dec-2025
1521052807@230930@101155775@2403@101006@200767,OTHER,CTWIN,WINSOME LAB LTD,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,40.00,4.00,Dec-2025
1521052807@230930@101155775@2403@101006@200767,OTHER,CHLORONOL,KNOLL HEALTHCARE PVT.LTD,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521052807@230930@101155775@2403@101006@200767,OTHER,FLOTHAL,EAST WEST PHARMA,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,49.50,4.95,Dec-2025
1521052807@230930@101155775@2403@101006@200767,OTHER,CHLORTAB,SPECTRA THERAPEUTICS PVT. LTD.,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,51.28,5.13,Dec-2025
1521052807@230930@101155775@2403@101006@200767,OTHER,CHLORFID,FIDELITY LIFESCIENCE,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,66.55,6.66,Dec-2025
1521052807@230930@101155775@2403@101006@200767,OTHER,AQUIRIS,AKUMENTIS HEALTHCARE LTD,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,85.00,8.50,Dec-2025
1521052807@230930@101155775@2403@101006@200767,OTHER,THALORIC,ZUVENTUS HEALTHCARE LTD,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,86.95,8.70,Dec-2025
1521052807@230930@101155775@2403@101006@200767,OTHER,LUPICLOR,LUPIN LTD,CHLORTHALIDONE TABLET 12.5 MG,15,TABLET,Non-Scheduled,-1,132.90,8.86,Dec-2025
1521052807@230930@101155775@2403@101006@200767,OTHER,CTD,IPCA LABORATORIES PVT LTD.,CHLORTHALIDONE TABLET 12.5 MG,15,TABLET,Non-Scheduled,-1,149.58,9.97,Dec-2025
1521052809@230931@101155775@3887@101006@200767,MAIN,NEW CH 6.25 MG TABLET 10,SYSTOPIC LABORATORIES LTD-MEM,CHLORTHALIDONE TABLET 6.25 MG,10 TABLET,TABLET,Non-Scheduled,-1,16.87,1.69,Dec-2025
1521052809@230931@101155775@3887@101006@200767,OTHER,CHLORONOL,KNOLL HEALTHCARE PVT.LTD,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,38.00,3.80,Dec-2025
1521052809@230931@101155775@3887@101006@200767,OTHER,CHLORTAB,SPECTRA THERAPEUTICS PVT. LTD.,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,43.80,4.38,Dec-2025
1521052809@230931@101155775@3887@101006@200767,OTHER,CHLORFID,FIDELITY LIFESCIENCE,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,52.18,5.22,Dec-2025
1521052809@230931@101155775@3887@101006@200767,OTHER,AQUIRIS,AKUMENTIS HEALTHCARE LTD,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521052809@230931@101155775@3887@101006@200767,OTHER,THALORIC,ZUVENTUS HEALTHCARE LTD,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,61.50,6.15,Dec-2025
1521052809@230931@101155775@3887@101006@200767,OTHER,CTD,IPCA LABORATORIES PVT LTD.,CHLORTHALIDONE TABLET 6.25 MG,15,TABLET,Non-Scheduled,-1,116.58,7.77,Dec-2025
1521052809@230931@101155775@3887@101006@200767,OTHER,LUPICLOR,LUPIN LTD,CHLORTHALIDONE TABLET 6.25 MG,15,TABLET,Non-Scheduled,-1,124.25,8.28,Dec-2025
1521077193@203228@101177611@2403@101006@200767,MAIN,THALORIC 12.5 MG TABLET 10,ZUVENTUS HEALTHCARE LTD,CHLORTHALIDONE TABLET 12.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,86.95,8.70,Dec-2025
1521077193@203228@101177611@2403@101006@200767,OTHER,NEW CH,SYSTOPIC LABORATORIES LTD-MEM,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,25.31,2.53,Dec-2025
1521077193@203228@101177611@2403@101006@200767,OTHER,CTWIN,WINSOME LAB LTD,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,40.00,4.00,Dec-2025
1521077193@203228@101177611@2403@101006@200767,OTHER,CHLORONOL,KNOLL HEALTHCARE PVT.LTD,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521077193@203228@101177611@2403@101006@200767,OTHER,FLOTHAL,EAST WEST PHARMA,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,49.50,4.95,Dec-2025
1521077193@203228@101177611@2403@101006@200767,OTHER,CHLORTAB,SPECTRA THERAPEUTICS PVT. LTD.,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,51.28,5.13,Dec-2025
1521077193@203228@101177611@2403@101006@200767,OTHER,CHLORFID,FIDELITY LIFESCIENCE,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,66.55,6.66,Dec-2025
1521077193@203228@101177611@2403@101006@200767,OTHER,AQUIRIS,AKUMENTIS HEALTHCARE LTD,CHLORTHALIDONE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,85.00,8.50,Dec-2025
1521077193@203228@101177611@2403@101006@200767,OTHER,LUPICLOR,LUPIN LTD,CHLORTHALIDONE TABLET 12.5 MG,15,TABLET,Non-Scheduled,-1,132.90,8.86,Dec-2025
1521077193@203228@101177611@2403@101006@200767,OTHER,CTD,IPCA LABORATORIES PVT LTD.,CHLORTHALIDONE TABLET 12.5 MG,15,TABLET,Non-Scheduled,-1,149.58,9.97,Dec-2025
1521077194@203229@101177611@3887@101006@200767,MAIN,THALORIC 6.25 MG TABLET 10,ZUVENTUS HEALTHCARE LTD,CHLORTHALIDONE TABLET 6.25 MG,10 TABLET,TABLET,Non-Scheduled,-1,61.50,6.15,Dec-2025
1521077194@203229@101177611@3887@101006@200767,OTHER,NEW CH,SYSTOPIC LABORATORIES LTD-MEM,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,16.87,1.69,Dec-2025
1521077194@203229@101177611@3887@101006@200767,OTHER,CHLORONOL,KNOLL HEALTHCARE PVT.LTD,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,38.00,3.80,Dec-2025
1521077194@203229@101177611@3887@101006@200767,OTHER,CHLORTAB,SPECTRA THERAPEUTICS PVT. LTD.,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,43.80,4.38,Dec-2025
1521077194@203229@101177611@3887@101006@200767,OTHER,CHLORFID,FIDELITY LIFESCIENCE,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,52.18,5.22,Dec-2025
1521077194@203229@101177611@3887@101006@200767,OTHER,AQUIRIS,AKUMENTIS HEALTHCARE LTD,CHLORTHALIDONE TABLET 6.25 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521077194@203229@101177611@3887@101006@200767,OTHER,CTD,IPCA LABORATORIES PVT LTD.,CHLORTHALIDONE TABLET 6.25 MG,15,TABLET,Non-Scheduled,-1,116.58,7.77,Dec-2025
1521077194@203229@101177611@3887@101006@200767,OTHER,LUPICLOR,LUPIN LTD,CHLORTHALIDONE TABLET 6.25 MG,15,TABLET,Non-Scheduled,-1,124.25,8.28,Dec-2025
